State,StateCode,CityCodeSmall,CityCode,CityName,Population2020,EducationCouncilExists,NurseTechnicians,Nurses,CommunityHealthAgents,Physicians
RS,43,13466,4313466,Novo Xingu,"1,712",Sim,3,2,5,2
RS,43,13490,4313490,Novo Barreiro,"4,175",Sim,4,2,9,2
RS,43,13508,4313508,Osório,"46,414",Sim,24,8,51,8
RS,43,13607,4313607,Paim Filho,"3,778",Sim,2,2,12,2
RS,43,13656,4313656,Palmares do Sul,"11,330",Sim,6,3,9,3
RS,43,13706,4313706,Palmeira das Missões,"33,131",Sim,26,10,40,10
RS,43,13805,4313805,Palmitinho,"7,056",Sim,6,4,17,5
RS,43,13904,4313904,Panambi,"44,128",Sim,26,12,68,12
RS,43,13953,4313953,Pantano Grande,"9,083",Sim,5,2,2,9
RS,43,14001,4314001,Paraí,"7,727",Sim,3,2,16,2
RS,43,14027,4314027,Paraíso do Sul,"7,623",Sim,1,1,5,1
RS,43,14035,4314035,Pareci Novo,"3,862",Sim,1,1,7,2
RS,43,14050,4314050,Parobé,"58,858",Sim,17,10,30,10
RS,43,14068,4314068,Passa Sete,"5,747",Sim,2,3,12,3
RS,43,14076,4314076,Passo do Sobrado,"6,574",Sim,4,2,14,2
RS,43,14100,4314100,Passo Fundo,"204,722",Sim,29,15,62,19
RS,43,14134,4314134,Paulo Bento,"2,299",Sim,1,1,6,1
RS,43,14159,4314159,Paverama,"8,515",Sim,2,2,14,4
RS,43,14175,4314175,Pedras Altas,"1,954",Sim,1,1,6,1
RS,43,14209,4314209,Pedro Osório,"7,706",Sim,3,2,11,2
RS,43,14308,4314308,Pejuçara,"3,857",Sim,3,3,11,4
RS,43,14407,4314407,Pelotas,"343,132",Sim,76,76,340,76
RS,43,14423,4314423,Picada Café,"5,738",Sim,3,2,10,2
RS,43,14456,4314456,Pinhal,"2,580",Sim,2,2,6,1
RS,43,14464,4314464,Pinhal da Serra,"1,918",Sim,1,1,6,1
RS,43,14472,4314472,Pinhal Grande,"4,329",Sim,2,2,10,2
RS,43,14498,4314498,Pinheirinho do Vale,"4,899",Sim,1,1,10,1
RS,43,14506,4314506,Pinheiro Machado,"12,195",Sim,5,5,18,5
RS,43,14548,4314548,Pinto Bandeira,"3,036",Sim,2,2,5,2
RS,43,14555,4314555,Pirapó,"2,254",Sim,8,2,8,2
RS,43,14605,4314605,Piratini,"20,704",Sim,5,4,17,4
RS,43,14704,4314704,Planalto,"10,019",Sim,7,5,20,5
RS,43,14753,4314753,Poço das Antas,"2,101",Sim,,,,
RS,43,14779,4314779,Pontão,"3,901",Sim,2,2,10,2
